year,indicator_name,indicator_code,indicator's_value,Country
2023,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.31112479,Bangladesh
2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.37064333,Bangladesh
2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.35154029,Bangladesh
2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.44372743,Bangladesh
2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.1902128,Bangladesh
2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.69447645,Bangladesh
2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.579473,Bangladesh
2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.63232696,Bangladesh
2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.38672505,Bangladesh
2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.90089882,Bangladesh
2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.97003918,Bangladesh
2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.06222632,Bangladesh
2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.12368441,Bangladesh
2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.99177998,Bangladesh
2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.03019129,Bangladesh
2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.08396712,Bangladesh
2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.18383652,Bangladesh
2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.29138818,Bangladesh
2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.5295383,Bangladesh
2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.62172544,Bangladesh
2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.66013674,Bangladesh
2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.85219329,Bangladesh
2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.23630637,Bangladesh
2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.21325958,Bangladesh
1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.87393409,Bangladesh
1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.47445648,Bangladesh
1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.94438043,Bangladesh
1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.65245448,Bangladesh
1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.01352078,Bangladesh
1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.89060459,Bangladesh
1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.56664362,Bangladesh
1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.35791657,Bangladesh
1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.28094031,Bangladesh
1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.78796958,Bangladesh
1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.22585849,Bangladesh
1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.10294231,Bangladesh
1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.70607667,Bangladesh
1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.13758931,Bangladesh
1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.03003764,Bangladesh
1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.28355228,Bangladesh
1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.54605516,Bangladesh
1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.65360682,Bangladesh
1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.67665361,Bangladesh
1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.72274718,Bangladesh
1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.69201813,Bangladesh
1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.72274718,Bangladesh
1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.75347622,Bangladesh
1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.80725206,Bangladesh
1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.85334562,Bangladesh
1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7381117,Bangladesh
1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7381117,Bangladesh
1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.75347622,Bangladesh
1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.47952677,Bangladesh
1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.4948913,Bangladesh
1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.32588154,Bangladesh
1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.27978797,Bangladesh
1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.47952677,Bangladesh
1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.133825,Bangladesh
1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.0339556,Bangladesh
1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.13513098,Bangladesh
1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.82784052,Bangladesh
1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.80479373,Bangladesh
1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.82784052,Bangladesh
2023,Arable land (% of land area),AG.LND.ARBL.ZS,60.62778889,Bangladesh
2022,Arable land (% of land area),AG.LND.ARBL.ZS,60.78381698,Bangladesh
2021,Arable land (% of land area),AG.LND.ARBL.ZS,60.49089652,Bangladesh
2020,Arable land (% of land area),AG.LND.ARBL.ZS,60.61304448,Bangladesh
2019,Arable land (% of land area),AG.LND.ARBL.ZS,60.35952985,Bangladesh
2018,Arable land (% of land area),AG.LND.ARBL.ZS,59.70884228,Bangladesh
2017,Arable land (% of land area),AG.LND.ARBL.ZS,59.82430668,Bangladesh
2016,Arable land (% of land area),AG.LND.ARBL.ZS,59.87716064,Bangladesh
2015,Arable land (% of land area),AG.LND.ARBL.ZS,59.63155873,Bangladesh
2014,Arable land (% of land area),AG.LND.ARBL.ZS,59.1457325,Bangladesh
2013,Arable land (% of land area),AG.LND.ARBL.ZS,59.29169548,Bangladesh
2012,Arable land (% of land area),AG.LND.ARBL.ZS,60.34416532,Bangladesh
2011,Arable land (% of land area),AG.LND.ARBL.ZS,60.40562342,Bangladesh
2010,Arable land (% of land area),AG.LND.ARBL.ZS,61.27371898,Bangladesh
2009,Arable land (% of land area),AG.LND.ARBL.ZS,61.37358838,Bangladesh
2008,Arable land (% of land area),AG.LND.ARBL.ZS,61.48114005,Bangladesh
2007,Arable land (% of land area),AG.LND.ARBL.ZS,61.58100945,Bangladesh
2006,Arable land (% of land area),AG.LND.ARBL.ZS,62.0726742,Bangladesh
2005,Arable land (% of land area),AG.LND.ARBL.ZS,62.31082431,Bangladesh
2004,Arable land (% of land area),AG.LND.ARBL.ZS,62.55665668,Bangladesh
2003,Arable land (% of land area),AG.LND.ARBL.ZS,63.20964892,Bangladesh
2002,Arable land (% of land area),AG.LND.ARBL.ZS,63.40170546,Bangladesh
2001,Arable land (% of land area),AG.LND.ARBL.ZS,63.78581854,Bangladesh
2000,Arable land (% of land area),AG.LND.ARBL.ZS,64.14688484,Bangladesh
1999,Arable land (% of land area),AG.LND.ARBL.ZS,64.80755935,Bangladesh
1998,Arable land (% of land area),AG.LND.ARBL.ZS,64.94584006,Bangladesh
1997,Arable land (% of land area),AG.LND.ARBL.ZS,64.45417531,Bangladesh
1996,Arable land (% of land area),AG.LND.ARBL.ZS,64.20066067,Bangladesh
1995,Arable land (% of land area),AG.LND.ARBL.ZS,64.56172697,Bangladesh
1994,Arable land (% of land area),AG.LND.ARBL.ZS,64.59245602,Bangladesh
1993,Arable land (% of land area),AG.LND.ARBL.ZS,65.34531766,Bangladesh
1992,Arable land (% of land area),AG.LND.ARBL.ZS,66.13659061,Bangladesh
1991,Arable land (% of land area),AG.LND.ARBL.ZS,72.09802566,Bangladesh
1990,Arable land (% of land area),AG.LND.ARBL.ZS,72.64346624,Bangladesh
1989,Arable land (% of land area),AG.LND.ARBL.ZS,73.38864562,Bangladesh
1988,Arable land (% of land area),AG.LND.ARBL.ZS,73.26572943,Bangladesh
1987,Arable land (% of land area),AG.LND.ARBL.ZS,70.94568641,Bangladesh
1986,Arable land (% of land area),AG.LND.ARBL.ZS,70.37719905,Bangladesh
1985,Arable land (% of land area),AG.LND.ARBL.ZS,70.30805869,Bangladesh
1984,Arable land (% of land area),AG.LND.ARBL.ZS,70.56157333,Bangladesh
1983,Arable land (% of land area),AG.LND.ARBL.ZS,69.82407621,Bangladesh
1982,Arable land (% of land area),AG.LND.ARBL.ZS,69.93931013,Bangladesh
1981,Arable land (% of land area),AG.LND.ARBL.ZS,69.97772144,Bangladesh
1980,Arable land (% of land area),AG.LND.ARBL.ZS,70.06990858,Bangladesh
1979,Arable land (% of land area),AG.LND.ARBL.ZS,70.0468618,Bangladesh
1978,Arable land (% of land area),AG.LND.ARBL.ZS,70.10063763,Bangladesh
1977,Arable land (% of land area),AG.LND.ARBL.ZS,70.1467312,Bangladesh
1976,Arable land (% of land area),AG.LND.ARBL.ZS,70.20050703,Bangladesh
1975,Arable land (% of land area),AG.LND.ARBL.ZS,70.2466006,Bangladesh
1974,Arable land (% of land area),AG.LND.ARBL.ZS,70.1467312,Bangladesh
1973,Arable land (% of land area),AG.LND.ARBL.ZS,70.1467312,Bangladesh
1972,Arable land (% of land area),AG.LND.ARBL.ZS,70.16209572,Bangladesh
1971,Arable land (% of land area),AG.LND.ARBL.ZS,67.88814627,Bangladesh
1970,Arable land (% of land area),AG.LND.ARBL.ZS,67.88814627,Bangladesh
1969,Arable land (% of land area),AG.LND.ARBL.ZS,67.68072521,Bangladesh
1968,Arable land (% of land area),AG.LND.ARBL.ZS,67.82668818,Bangladesh
1967,Arable land (% of land area),AG.LND.ARBL.ZS,67.93423984,Bangladesh
1966,Arable land (% of land area),AG.LND.ARBL.ZS,67.58853807,Bangladesh
1965,Arable land (% of land area),AG.LND.ARBL.ZS,67.42721057,Bangladesh
1964,Arable land (% of land area),AG.LND.ARBL.ZS,66.37474072,Bangladesh
1963,Arable land (% of land area),AG.LND.ARBL.ZS,66.10586157,Bangladesh
1962,Arable land (% of land area),AG.LND.ARBL.ZS,66.04440347,Bangladesh
1961,Arable land (% of land area),AG.LND.ARBL.ZS,66.10586157,Bangladesh
2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,14600.86439,Bangladesh
2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,15196.24032,Bangladesh
1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,15854.75928,Bangladesh
2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,10.71238737,Bangladesh
2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,11.14920381,Bangladesh
1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,11.63234713,Bangladesh
2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,7024.521424,Bangladesh
2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,6429.14549,Bangladesh
1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,5770.626538,Bangladesh
2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,5.153762994,Bangladesh
2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,4.716946551,Bangladesh
1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,4.233803231,Bangladesh
2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,15.86615036,Bangladesh
2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,15.86615036,Bangladesh
1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,15.86615036,Bangladesh
2023,Forest area (sq. km),AG.LND.FRST.K2,18834,Bangladesh
2022,Forest area (sq. km),AG.LND.FRST.K2,18834,Bangladesh
2021,Forest area (sq. km),AG.LND.FRST.K2,18834,Bangladesh
2020,Forest area (sq. km),AG.LND.FRST.K2,18834,Bangladesh
2019,Forest area (sq. km),AG.LND.FRST.K2,18834,Bangladesh
2018,Forest area (sq. km),AG.LND.FRST.K2,18834,Bangladesh
2017,Forest area (sq. km),AG.LND.FRST.K2,18834,Bangladesh
2016,Forest area (sq. km),AG.LND.FRST.K2,18834,Bangladesh
2015,Forest area (sq. km),AG.LND.FRST.K2,18834,Bangladesh
2014,Forest area (sq. km),AG.LND.FRST.K2,18843.884,Bangladesh
2013,Forest area (sq. km),AG.LND.FRST.K2,18853.768,Bangladesh
2012,Forest area (sq. km),AG.LND.FRST.K2,18863.652,Bangladesh
2011,Forest area (sq. km),AG.LND.FRST.K2,18873.536,Bangladesh
2010,Forest area (sq. km),AG.LND.FRST.K2,18883.42,Bangladesh
2009,Forest area (sq. km),AG.LND.FRST.K2,18915.406,Bangladesh
2008,Forest area (sq. km),AG.LND.FRST.K2,18947.393,Bangladesh
2007,Forest area (sq. km),AG.LND.FRST.K2,18979.379,Bangladesh
2006,Forest area (sq. km),AG.LND.FRST.K2,19011.365,Bangladesh
2005,Forest area (sq. km),AG.LND.FRST.K2,19043.351,Bangladesh
2004,Forest area (sq. km),AG.LND.FRST.K2,19075.337,Bangladesh
2003,Forest area (sq. km),AG.LND.FRST.K2,19107.323,Bangladesh
2002,Forest area (sq. km),AG.LND.FRST.K2,19139.309,Bangladesh
2001,Forest area (sq. km),AG.LND.FRST.K2,19171.295,Bangladesh
2000,Forest area (sq. km),AG.LND.FRST.K2,19203.281,Bangladesh
1999,Forest area (sq. km),AG.LND.FRST.K2,19203.283,Bangladesh
1998,Forest area (sq. km),AG.LND.FRST.K2,19203.285,Bangladesh
1997,Forest area (sq. km),AG.LND.FRST.K2,19203.287,Bangladesh
1996,Forest area (sq. km),AG.LND.FRST.K2,19203.289,Bangladesh
1995,Forest area (sq. km),AG.LND.FRST.K2,19203.29,Bangladesh
1994,Forest area (sq. km),AG.LND.FRST.K2,19203.292,Bangladesh
1993,Forest area (sq. km),AG.LND.FRST.K2,19203.294,Bangladesh
1992,Forest area (sq. km),AG.LND.FRST.K2,19203.296,Bangladesh
1991,Forest area (sq. km),AG.LND.FRST.K2,19203.298,Bangladesh
1990,Forest area (sq. km),AG.LND.FRST.K2,19203.3,Bangladesh
2023,Forest area (% of land area),AG.LND.FRST.ZS,14.48992153,Bangladesh
2022,Forest area (% of land area),AG.LND.FRST.ZS,14.45877476,Bangladesh
2021,Forest area (% of land area),AG.LND.FRST.ZS,14.46877161,Bangladesh
2020,Forest area (% of land area),AG.LND.FRST.ZS,14.46877161,Bangladesh
2019,Forest area (% of land area),AG.LND.FRST.ZS,14.46877161,Bangladesh
2018,Forest area (% of land area),AG.LND.FRST.ZS,14.46877161,Bangladesh
2017,Forest area (% of land area),AG.LND.FRST.ZS,14.46877161,Bangladesh
2016,Forest area (% of land area),AG.LND.FRST.ZS,14.46877161,Bangladesh
2015,Forest area (% of land area),AG.LND.FRST.ZS,14.46877161,Bangladesh
2014,Forest area (% of land area),AG.LND.FRST.ZS,14.47636475,Bangladesh
2013,Forest area (% of land area),AG.LND.FRST.ZS,14.4839579,Bangladesh
2012,Forest area (% of land area),AG.LND.FRST.ZS,14.49155105,Bangladesh
2011,Forest area (% of land area),AG.LND.FRST.ZS,14.4991442,Bangladesh
2010,Forest area (% of land area),AG.LND.FRST.ZS,14.50673734,Bangladesh
2009,Forest area (% of land area),AG.LND.FRST.ZS,14.53130983,Bangladesh
2008,Forest area (% of land area),AG.LND.FRST.ZS,14.55588308,Bangladesh
2007,Forest area (% of land area),AG.LND.FRST.ZS,14.58045556,Bangladesh
2006,Forest area (% of land area),AG.LND.FRST.ZS,14.60502804,Bangladesh
2005,Forest area (% of land area),AG.LND.FRST.ZS,14.62960052,Bangladesh
2004,Forest area (% of land area),AG.LND.FRST.ZS,14.654173,Bangladesh
2003,Forest area (% of land area),AG.LND.FRST.ZS,14.67874549,Bangladesh
2002,Forest area (% of land area),AG.LND.FRST.ZS,14.70331797,Bangladesh
2001,Forest area (% of land area),AG.LND.FRST.ZS,14.72789045,Bangladesh
2000,Forest area (% of land area),AG.LND.FRST.ZS,14.75246293,Bangladesh
1999,Forest area (% of land area),AG.LND.FRST.ZS,14.75246447,Bangladesh
1998,Forest area (% of land area),AG.LND.FRST.ZS,14.75246601,Bangladesh
1997,Forest area (% of land area),AG.LND.FRST.ZS,14.75246754,Bangladesh
1996,Forest area (% of land area),AG.LND.FRST.ZS,14.75246908,Bangladesh
1995,Forest area (% of land area),AG.LND.FRST.ZS,14.75246985,Bangladesh
1994,Forest area (% of land area),AG.LND.FRST.ZS,14.75247138,Bangladesh
1993,Forest area (% of land area),AG.LND.FRST.ZS,14.75247292,Bangladesh
1992,Forest area (% of land area),AG.LND.FRST.ZS,14.75247446,Bangladesh
1991,Forest area (% of land area),AG.LND.FRST.ZS,14.75247599,Bangladesh
1990,Forest area (% of land area),AG.LND.FRST.ZS,14.75247753,Bangladesh
2022,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2021,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2020,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2019,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2018,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2017,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2016,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2015,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2013,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2011,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2010,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2009,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2008,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2007,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2006,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2005,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2004,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2003,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2002,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2001,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2000,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1999,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1998,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1997,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1996,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1995,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1994,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1993,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1992,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1991,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1990,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1989,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1988,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1987,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1986,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1985,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1984,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1983,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1982,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1981,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1980,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1979,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1978,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1977,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1976,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1975,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1974,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1973,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1972,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1971,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1970,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1969,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1968,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1967,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1966,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1965,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1964,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1963,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1962,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
1961,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666,Bangladesh
2023,Land area (sq. km),AG.LND.TOTL.K2,129980,Bangladesh
2022,Land area (sq. km),AG.LND.TOTL.K2,130260,Bangladesh
2021,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2020,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2019,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2018,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2017,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2016,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2015,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2014,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2013,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2012,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2011,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2010,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2009,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2008,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2007,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2006,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2005,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2004,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2003,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2002,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2001,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2000,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1999,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1998,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1997,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1996,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1995,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1994,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1993,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1992,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1991,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1990,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1989,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1988,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1987,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1986,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1985,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1984,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1983,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1982,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1981,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1980,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1979,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1978,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1977,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1976,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1975,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1974,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1973,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1972,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1971,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1970,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1969,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1968,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1967,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1966,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1965,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1964,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1963,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1962,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
1961,Land area (sq. km),AG.LND.TOTL.K2,130170,Bangladesh
2015,Rural land area (sq. km),AG.LND.TOTL.RU.K2,79328.8629,Bangladesh
2000,Rural land area (sq. km),AG.LND.TOTL.RU.K2,85189.6422,Bangladesh
1990,Rural land area (sq. km),AG.LND.TOTL.RU.K2,90000.4742,Bangladesh
2015,Urban land area (sq. km),AG.LND.TOTL.UR.K2,56970.02069,Bangladesh
2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,51109.2414,Bangladesh
1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,46298.4094,Bangladesh
2023,Surface area (sq. km),AG.SRF.TOTL.K2,147570,Bangladesh
2022,Surface area (sq. km),AG.SRF.TOTL.K2,147570,Bangladesh
