date,district_id,10_day_rainfall_mm,long_term_avg_mm,1 month_aggregation_mm,1 month_aggregation_long_term_avg_mm,3 month_aggregation_mm,3 month_aggregation_mm,anomaly,1 month_anomaly,3 month_anomaly
2026-04-01,BD5038,9.885715,23.540953,62.285713,41.657143,73.08571,73.08571,52.155632,144.2131,116.33911
2026-04-01,BD2046,20.813726,50.331047,110.411766,103.505554,140.84314,140.84314,46.65324,106.364845,101.51957
2026-04-01,BD3048,38.417583,74.404396,181.05495,131.59047,207.1978,207.1978,54.679066,136.21371,121.771515
2026-04-01,BD5549,27.506172,43.251442,137.96295,75.10741,153.97531,153.97531,67.36829,178.4641,148.52821
2026-04-01,BD4050,13.803572,21.520239,85.75,48.361904,103.78572,103.78572,70.902725,170.06514,125.67995
2026-04-01,BD5552,28.772728,33.270454,122.40909,57.042423,135.70453,135.70453,88.24753,205.358,169.45702
2026-04-01,BD3054,8.853659,36.204063,94.4878,85.94716,118.02439,118.02439,33.622066,109.39077,99.14822
2026-04-01,BD4055,12.351352,26.135136,106.64865,61.767567,127.918915,127.918915,55.729168,167.2199,131.956
2026-04-01,BD3056,17.22,41.048668,121.340004,83.774,141.84,141.84,48.253296,142.31645,120.16496
2026-04-01,BD6058,54.31915,94.242905,350.35107,194.23297,391.59576,391.59576,59.771675,178.35957,155.22577
2026-04-01,BD4057,14.407408,20.006172,85.85185,45.976543,104.59259,104.59259,77.610466,178.22285,135.02374
2026-04-01,BD3059,8.53125,49.335415,127.125,107.98854,151.71875,151.71875,24.903187,116.93664,105.967865
2026-04-01,BD5064,7.935484,18.405376,53.032257,36.424194,65.83065,65.83065,55.26715,140.09265,109.90887
2026-04-01,BD4065,13,26.537838,93.16216,64.815315,115.081085,115.081085,57.074295,140.60263,116.32514
2026-04-01,BD3067,16.32,59.202667,136.92001,116.14267,160.32,160.32,33.20734,117.15114,107.545265
2026-04-01,BD3068,29.095238,62.21984,158.90475,117.80635,184.85715,184.85715,50.721985,133.46603,120.5424
2026-04-01,BD5069,12.805555,21.293982,64.22222,42.849537,77.708336,77.708336,67.71723,144.66644,112.203255
2026-04-01,BD5070,4.206897,13.036207,41.58621,28.789656,55.137936,55.137936,51.046745,137.8712,104.63269
2026-04-01,BD5573,20.779661,23.315254,102.20339,44.727684,113.45763,113.45763,91.045135,215.58092,168.86673
2026-04-01,BD5076,14.081395,25.52248,93.65116,57.834885,113.72093,113.72093,62.515873,157.00063,121.52592
2026-04-01,BD5577,18.82,24.294666,104.299995,46.544,117.1,117.1,81.31173,212.05185,167.15038
2026-04-01,BD3082,13.846154,30.911966,105.35897,68.948715,126.12821,126.12821,52.47876,149.23717,121.81605
2026-04-01,BD5081,9.117647,14.251764,61.57647,35.268234,75.65882,75.65882,73.33171,165.33247,120.99465
2026-04-01,BD2084,24.372972,41.737297,85.14054,82.79532,110.63243,110.63243,62.846966,102.67124,98.14479
2026-04-01,BD5585,15.530121,25.611244,97.180725,49.811245,108.36145,108.36145,67.06725,186.42291,151.17613
2026-04-01,BD5088,15.375,26.752274,83.670456,55.56818,105.556816,105.556816,64.16863,146.39775,116.885925
